City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
416,Inta,RU,74.03,clear sky,66.0317,60.1659,Apartments in Inta city
418,Nokaneng,BW,79.63,clear sky,-19.6667,22.2667,
423,Sao Filipe,CV,76.84,scattered clouds,14.8961,-24.4956,Hotel Xaguate
424,Belgrade,RS,81.84,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
426,Merauke,ID,76.89,overcast clouds,-8.4667,140.3333,
427,Belyy Yar,RU,67.89,clear sky,53.6039,91.3903,Pasportnyy Stol
428,Pimentel,PE,64.69,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
430,Talara,PE,68.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
432,Takoradi,GH,79.38,light rain,4.8845,-1.7554,Raybow International Hotel
433,Sao Jose Do Belmonte,BR,76.82,overcast clouds,-7.8614,-38.7597,Pousada Pedra do Reino
434,Eyl,SO,85.87,few clouds,7.9803,49.8164,Amiin Hotel
435,Sobolevo,RU,75.49,light rain,54.4299,31.8996,
439,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
440,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
441,Krechevitsy,RU,68.13,light rain,58.617,31.401,stork's nest
442,Batemans Bay,AU,54.28,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
443,Kavieng,PG,81.12,light rain,-2.5744,150.7967,Nusa Island Retreat
444,Papillion,US,75.43,overcast clouds,41.1544,-96.0422,lalithya constructions the lake shore
447,Kinsale,IE,69.24,broken clouds,51.7075,-8.5306,Actons Hotel Kinsale
448,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
451,Lethem,GY,86.29,few clouds,3.3803,-59.7968,Savannah Inn
452,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
453,Kumla,SE,70.68,clear sky,59.1277,15.1434,Kumla Hotel
455,Jurm,AF,75.54,clear sky,36.8648,70.8342,
456,Padang,ID,79.29,light rain,-0.9492,100.3543,Mercure Padang
458,Krasnoselkup,RU,60.98,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
459,Charyshskoye,RU,55.58,overcast clouds,51.3978,83.5598,Gostinitsa Charysh
461,Ust-Maya,RU,73.65,light rain,60.4167,134.5333,
462,Mzimba,MW,65.23,scattered clouds,-11.9,33.6,Zagegs Hotel
